,TRANS_CIS,SEX,GENDER_IDENTITY,SURVEYCOMPLETED,Q82,Q84
1322,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1323,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1324,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1325,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1326,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1327,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1328,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1329,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1330,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1332,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1334,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1335,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1336,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1337,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1338,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1339,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1340,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
1341,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1342,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1343,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1345,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1346,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1347,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1348,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1349,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1350,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1351,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1352,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1353,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1354,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1355,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1357,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1358,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1359,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1360,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1361,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1362,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1363,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1364,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1365,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1366,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1367,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1368,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1369,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1370,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1371,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1372,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1373,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1374,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1375,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1376,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1377,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1378,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1379,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1380,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1381,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1382,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1383,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1384,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1385,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1386,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1387,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1388,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1389,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1390,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1391,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1392,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1393,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1394,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1395,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1396,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1397,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1398,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1399,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1400,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1401,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1402,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1403,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1404,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1405,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1406,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1408,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1409,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1410,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1411,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1412,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1413,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1415,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1416,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1417,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1419,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1420,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1421,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1422,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1423,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1424,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1426,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1427,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1428,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1429,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1430,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1431,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1432,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
1434,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1435,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
